Chain ID,Transaction Hash,User,Log Index,Effective PT Trade Volume,Swap Fee,Effective Implied Yield,Post Swap Implied Yield
1,0xc52927fece39f04a33392ff5aaf7c88e4e3f9c615584e4848006e12c77c57d1a,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,306,29514.457371,28.05922,0.045338,0.04763
56,0x3e927a6d5e935fa359eadd59649ad8631d63f04eca7c9b07ec45aa54ad875e09,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,447,571.364576,1.111981,0.06926,0.03435
56,0xc390afbb8f1ee6f62cd6bd0226d4fa34db8aa84286ee6b52e36213119ab7d1bb,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,170,345.922304,0.673268,0.068828,0.034144
56,0x6f858506079f2c5cadafe4612593aa5a55553b7cee012bd5f9d02762c29ba6cb,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,232,11.034202,0.015986,0.045809,0.030878
56,0x0364235f653874706acc1972b977abbde9534fd8065d5ba25742593ba3610b1b,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,588,4340.4045,8.447939,0.066351,0.03402
56,0xd6ef8a010896096f0448483426431491c6c5611e0ceea4de74cd612c42d37c58,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,463,8768.485535,12.703932,0.044293,0.030878
1,0xd009ae257ad3626a0e309bd757919c42e02ed351819a4b79b269e10b6f31ca20,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,238,48715.270036,70.581238,0.074095,0.049265
1,0x9e2d599c8317775b32d7e9b798b5a43e926b13df027436a8ee4a84eeddfca3e0,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,315,431.096474,0.517314,0.033292,0.028261
1,0x7a6d55ff69e05e49b8c322a6f7b9eb2db8f09662a766c72f5ac3489c0481de47,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,180,25000.66201,36.222555,0.063459,0.042412
1,0x2af10461d8f60fa178bf02c67d910ddd2d61b94c0fad89b660d5dc6d54080b33,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,112,27894.499744,124.115703,0,0.03568
1,0x6e023806df19ccbcd6e017d0a299ea535adf941650963736bc4c75b26e65fdfb,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,26,14582.492249,17.499544,0.021916,0.017971
56,0x33d486ec0e0b1d619dc240f65e82a0c0c6708ccfc582f0310b8e1a64cba7d69c,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,261,1314.381274,2.558357,0.069885,0.035674
1,0x081c44a19ee8972d8e696dd1e628f5a869f2d55db9fc902fbed98f4a9687d083,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,194,5.823458,0.005537,0.035274,0.035279
1,0xcc2527a709a5bbd78d3faaf58e8175cf4fb09d94801d8787628f1ecbde733284,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,373,67.578972,0.08111,0.033304,0.028265
1,0x06f33748ed6c7c9c0510e0926ae0f04c57e559af4afeacd0b8615b6f4025a637,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,339,145.532307,0.174692,0.033309,0.028266
1,0xe014fa9abb7b3828b8063ad16ba72f181beb74cd74ca3932894f7b472448d962,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,342,2608.398955,3.131146,0.033312,0.028268
1,0xa559468d15fc0abec3ea8d1c999789bfab561212e2963b9a024db9190abc3cff,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,198,556.331403,2.475783,0,0.035311
56,0x9aa5280f38c2e8740bc5a12f7dcb7978f29984ef7aac18a3519a97c8335c3023,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,115,15665.064738,14.913193,0.023707,0.024579
56,0x8ab527cf59f2e2b177676f2e9de5bf15b42fd5182d60222fc481237692d96ce8,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,69,1992.776815,3.880788,0.073187,0.036182
1,0x4d8c6d4ef5827f2ee5cab7044c9db855aacbaf8c8e6debbcad757df9c578163d,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,82,1202.714787,1.44452,0.034605,0.028294
1,0xbe9a4c40f27a2b6695573ba8244079a043ba99038c9670d93251dc9f0449c3ec,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,174,16047.439086,19.273842,0.033346,0.028282
56,0x3ece3f8a2c05a074554320990cdc86643fe33f26dafcb4b8dd61c5a90955472c,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,466,8958.22412,12.988882,0.044473,0.030973
56,0xcdaf315d7098dc771ef0b78327066c4f56403af35f9a02a69fd4fafe5e7bb915,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,623,4463.998208,8.693605,0.069264,0.035412
56,0xb26d3602cd97906520c9087f4c7675dded7041d6c0416edfa558197ca3a5ec1a,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,535,162.51205,0.316491,0.073245,0.037245
1,0x55e799402c0ef7256ecbe4fb745de8c74d25f291867b6819de2c64ded49243bd,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,100,1361.367033,1.974048,0.071831,0.04878
56,0x59df6563cf7ba7012422a7167cae0586b1900e7f1858561c332b5ca78d51caf9,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,226,5066.155997,4.824697,0.020842,0.022641
1,0x4c95ade7df64a3b5f14d64b0361071ad3a5514878e8c000a26feecb3e3b8feda,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,201,4113.212772,5.964979,0.073417,0.048793
1,0xc15551e353bd811738368518bb3fc2993dbebc11947a8f8bfe21ee21ab5b8d8e,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,195,11565.017675,16.772597,0.071798,0.048752
